"account_id","id","cargo_name","account_name","cargo_type","min_size","max_size","region","matching_region","del_port","redel_port","laycan_start_date","laycan_end_date","duration","email_id","phone_number","latitude","longitude","received_at","process_id"
"TR149P","13281","Coal","WBC","Dry Bulk","50000","69000","South Africa","South Africa","Richards Bay","Cotonou","2025-12-16","2025-12-20","30","rieck-petersen@shipnet.de","+49 (0)40 35 00 426","-28.783","32.037",NULL,"386412"
"TR149P","13282","Coal","Midstar","Dry Bulk","50000","69000","South East Asia","South East Asia","South Sumatra","Thailand","2025-12-10","2025-12-14","0","handy@energybulk.com","+603-8733 2988","-3.0","104.0",NULL,"613800"
"TR149P","13283","Coal","Midstar","Dry Bulk","50000","69000","South East Asia","South East Asia","South Sumatra","Thailand","2025-12-10","2025-12-14","0","handy@energybulk.com","+603-8733 2988","-3.0","104.0",NULL,"967110"
"TR149P","13284","Grains","Canfornav","Dry Bulk","30000","38000","East Coast North America","East Coast North America","Escoumins","Algeria","2025-12-16","2025-12-30","42","rieck-petersen@shipnet.de","+49 (0)40 35 00 426","48.3428","-70.8828",NULL,"394147"
"TR149P","13285","Grains","Weco Bulk","Dry Bulk","20000","49999","South America","South America","Fazendinha","Mediterranean","2025-12-10","2025-12-15","0","rieck-petersen@shipnet.de","+49 (0)40 35 00 426","-0.0456","-51.0722",NULL,"282202"
"TR149P","13286","Grains","Lauritzen","Dry Bulk","32000","45000","East Coast North America","East Coast North America","Houston","West Mediterranean","2025-12-05","2025-12-20","40","rieck-petersen@shipnet.de","+49 (0)40 35 00 426","29.7604","-95.3698",NULL,"282202"
"TR149P","13287","Grains","Norden","Dry Bulk","28000","40000","South America","South America","Recalada","Salvador-Fortaleza Range","2025-12-12","2025-12-17","25","rieck-petersen@shipnet.de","+49 (0)40 35 00 426","-38.0","-57.5",NULL,"282202"
"TR149P","13288","Agriproducts","OSR","Dry Bulk","32000","37000","US Gulf","US Gulf","Houston","North Coast South America","2025-12-14","2025-12-18","30","rieck-petersen@shipnet.de","+49 (0)40 35 00 426","29.7604","-95.3698",NULL,"825289"
"TR149P","13289","Grains","Freight Force AG","Dry Bulk","32000","56000","East Coast South America","East Coast South America","Santos","Spain","2025-12-08","2025-12-14","35","rieck-petersen@shipnet.de","+49 (0)40 35 00 426","-23.9608","-46.3336",NULL,"825289"
"TR149P","13290","Steels","Clipper","General Cargo","28000","40000","Continent","Continent","Amsterdam","US East Coast","2025-12-12","2025-12-16","0","rieck-petersen@shipnet.de","+49 (0)40 35 00 426","52.3792","4.9003",NULL,"825289"
"TR149P","13291","Slags","Navision","Dry Bulk","20000","59000","Mediterranean","Mediterranean","Gibraltar","Caribbean","2025-12-15","2025-12-20","25","rieck-petersen@shipnet.de","+49 (0)40 35 00 426","36.1408","-5.3536",NULL,"825289"
"TR149P","13292","Grains","Falcon Navigation","Dry Bulk","28000","40000","East Coast North America","East Coast North America","Cape Henry","Central Mediterranean","2025-12-12","2025-12-18","0","rieck-petersen@shipnet.de","+49 (0)40 35 00 426","36.9312","-76.0075",NULL,"197358"
"TR149P","13293","Fertilizers","Falcon Navigation","Dry Bulk","27000","40000","West Africa","West Africa","Casablanca","Adriatic","2025-12-10","2025-12-13","25","rieck-petersen@shipnet.de","+49 (0)40 35 00 426","33.5992","-7.6203",NULL,"197358"
"TR149P","13294","Petcoke","Navision","Dry Bulk","16000","20000","US Gulf","US Gulf","Port Arthur","Salvador","2025-12-16","2025-12-20","25","chartering@interbulkshipping.in","+91-9650405353","29.8844","-93.9399",NULL,"390008"
"TR149P","13295","Fertilizer","Navision","Dry Bulk","34000","45000","Continent","Continent","Aviles","Brazil","2025-12-10","2025-12-12","32","chartering@interbulkshipping.in","+91-9650405353","43.5566","-5.9248",NULL,"390008"
"TR149P","13296","Grains","Navision","Dry Bulk","50000","69000","US Gulf","US Gulf","Mississippi River","Persian Gulf/Japan Range","2025-12-25","2025-12-30","0","chartering@interbulkshipping.in","+91-9650405353","29.1519","-89.25",NULL,"390008"
"TR149P","13297","Petcoke","Danbulk","Dry Bulk","28000","43000","US Gulf","US Gulf","US Gulf","Italy","2025-12-10","2025-12-15","35","rieck-petersen@shipnet.de","+49 (0)40 35 00 426","29.0","-90.0",NULL,"812475"
"TR149P","13298","Bagged Rice","Ducat","Dry Bulk","20000","59999","South Asia","South Asia","Karachi","Bissau","2025-12-05","2025-12-15","0","rieck-petersen@shipnet.de","+49 (0)40 35 00 426","24.8607","67.0011",NULL,"927216"
"TR149P","13299","Bulk and/or Bagged Rice","Ducat","Dry Bulk","50000","69999","South East Asia","South East Asia","Koh Sichang","Douala","2025-12-10","2025-12-20","0","rieck-petersen@shipnet.de","+49 (0)40 35 00 426","13.1527","100.9113",NULL,"927216"
"TR149P","13300","Fertilizer","Tradewell","Dry Bulk","32000","32000","North Africa","North Africa","Morocco","East Coast India","2025-12-10","2025-12-15","40","chart@lemafcc.com","+38-067-6211603","33.589886","-7.603869",NULL,"831842"
"TR149P","13301","Fertilizer","Harmony","Dry Bulk","60000","69000","Far East","Far East","Caofeidian","East Coast India-Bangladesh Range","2025-12-05","2025-12-15","40","chart@lemafcc.com","+38-067-6211603","39.225","119.125",NULL,"831842"
"TR149P","13302","Granite Blocks","Multimax","Dry Bulk","28000","45000","East Coast India","East Coast India","East Coast India","South China",NULL,NULL,"20","chart@lemafcc.com","+38-067-6211603","16.9938","82.2475",NULL,"831842"
"TR149P","13303","Grains","Authentic","Dry Bulk","70000","89000","South East Asia","South East Asia","South China","Worldwide","2025-12-20","2025-12-25","210","chart@lemafcc.com","+38-067-6211603","22.3193","114.1694",NULL,"831842"
"TR149P","13304","Clinker","Al Global","Dry Bulk","50000","69000","South East Asia","South East Asia","South Kalimantan","West Coast India","2025-12-18","2025-12-20","20","chart@lemafcc.com","+38-067-6211603","-3.0","115.0",NULL,"831842"
"TR149P","13305","Steel","Cosfar","Dry Bulk","41000","59000","Far East","Far East","Bohai Bay","South East Asia","2025-12-10","2025-12-13","25","chart@lemafcc.com","+38-067-6211603","38.0","120.0",NULL,"831842"
"TR149P","13306","General Cargo","Cosfar","General Cargo","25000","38000","Far East","Far East","Tianjin","East Malaysia","2025-12-20","2025-12-23","30","chart@lemafcc.com","+38-067-6211603","39.3434","117.3616",NULL,"831842"
"TR149P","13307","Harmless Bulk","Neobulk","Dry Bulk","0","0","Persian Gulf","Persian Gulf","Persian Gulf","Bangladesh","2025-12-11","2025-12-20","25","chart@lemafcc.com","+38-067-6211603","25.0","51.0",NULL,"831842"
"TR149P","13308","Fertilizer",,"Dry Bulk","32000","32000","North Africa","North Africa","Morocco","East Coast India","2025-12-10","2025-12-15","40","dry@amgchartering.com","+39.010.582245","33.589886","-7.603869",NULL,"341499"
"TR149P","13309","Coal","Refined Success Ltd","Dry Bulk","33000","45000","South East Asia","South East Asia","Taboneo","Philippines","2025-12-05","2025-12-10","15","handy@energybulk.com","+603 8733 2988","-3.7253","114.5885",NULL,"484992"
"TR149P","13310","Slag","Refined Success Ltd","Dry Bulk","32000","40000","China Japan Range","China Japan Range","North China","Singapore - Malaysia Range","2025-12-10","2025-12-15","20","handy@energybulk.com","+603 8733 2988","39.0","117.0",NULL,"484992"
"TR149P","13311","Coal","Trafigura","Dry Bulk","82000","82000","West Coast North America","West Coast North America","Skagen","India","2025-12-04","2025-12-05","0","chartering@reshamwalashipbrokers.com","+91 98210 68513","57.7209","10.5839",NULL,"933027"
"TR149P","13312","Iron Ore","Oldendorff","Dry Bulk","75000","75000","Far East","Far East","Dongjiakou","Japan","2025-12-06","2025-12-06","0","chartering@reshamwalashipbrokers.com","+91 98210 68513","35.8818","120.0434",NULL,"933027"
"TR149P","13313","Coal","Cambrian","Dry Bulk","75000","75000","Far East","Far East","Basuo","South China","2025-12-06","2025-12-07","0","chartering@reshamwalashipbrokers.com","+91 98210 68513","19.0933","108.6546",NULL,"933027"
"TR149P","13314","Coal","Cambrian","Dry Bulk","72000","72000","Far East","Far East","Quanzhou","South China","2025-12-07","2025-12-12","0","chartering@reshamwalashipbrokers.com","+91 98210 68513","24.9139","118.5858",NULL,"933027"
"TR149P","13315","Coal","CNR","Dry Bulk","82000","82000","South East Asia","South East Asia","Rizhao","South China","2025-12-02","2025-12-02","0","chartering@reshamwalashipbrokers.com","+91 98210 68513","35.4275","119.4551",NULL,"933027"
"TR149P","13316","Coal","CNR","Dry Bulk","73000","73000","Far East","Far East","Hong Kong","South China","2025-12-03","2025-12-04","0","chartering@reshamwalashipbrokers.com","+91 98210 68513","22.3193","114.1694",NULL,"933027"
"TR149P","13317","Coal","CNR","Dry Bulk","56786","56786","Persian Gulf","Persian Gulf","Jebel Ali","West Coast India","2025-12-06","2025-12-11","0","chartering@reshamwalashipbrokers.com","+91 98210 68513","25.0657","55.1713",NULL,"933027"
"TR149P","13318",,"DE CHENG",,"28000","38000","0","China Japan Range",,,"2025-12-15","2025-12-31","365","handy@energybulk.com","+603 8733 2988","35.6895","139.6917",NULL,"243495"
"TR149P","13319","Bulk Alumina","Vietsea","Dry Bulk","30000","38000","South East Asia","South East Asia","Kijang","Samalaju","2025-12-23","2025-12-25","0","chartering@interbulkshipping.in","+91 9958349993","0.9167","104.45",NULL,"104312"
NULL,"13320","Aggregates","Hanson Bulk","Dry Bulk","56000","60000","Persian Gulf","Persian Gulf","Fujairah","Maldives","2023-12-14","2023-12-20","25","chartering@hansoncarriers.com","+86 13390017718","25.2697","56.4611",NULL,"415214"
"TR149P","13321","Harmless/Lawful Cargo in Bulk","Spark","Dry Bulk","20000","59999","Far East","Far East","CIS","Far East/South East Asia","2025-12-07","2025-12-12","20","chartering@afeashipbrokers.gr","+30 210.4296465","55.0","82.0",NULL,"298759"
"TR149P","13322","Harmless/Lawful Cargo in Bulk","Spark","Dry Bulk","70000","79999","Far East","Far East","CIS","Far East/South East Asia","2025-12-14","2025-12-17","20","chartering@afeashipbrokers.gr","+30 210.4296465","55.0","82.0",NULL,"298759"
"TR149P","13323",,"XO Shipping","Dry Bulk","58000","64000","0","Continent","ARAG","World Wide","2025-12-18","2025-12-25","365","rieck-petersen@shipnet.de","+49 (0)40 35 00 426","51.0","4.0",NULL,"814912"
"TR149P","13324","Petcoke","Navision","Dry Bulk","20000","20000","US Gulf","US Gulf","Port Arthur","Salvador","2025-12-16","2025-12-20","25","chartering@interbulkshipping.in","+91-9650405353","29.8844","-93.9399",NULL,"823516"
"TR149P","13325","Slags","Navision","Dry Bulk","20000","50000","Mediterranean","Mediterranean","Gibraltar","Caribbean","2025-12-15","2025-12-20","25","chartering@interbulkshipping.in","+91-9650405353","36.1408","-5.3536",NULL,"823516"
"TR149P","13326","Grains","Navision","Dry Bulk","50000","69000","US Gulf","US Gulf","Mississippi River","Persian Gulf/Japan Range","2025-12-25","2025-12-30","75","chartering@interbulkshipping.in","+91-9650405353","29.1519","-89.25",NULL,"823516"
"TR149P","13327","Grains","Falcon Navigation","Dry Bulk","34000","40000","South West Pacific","South West Pacific","SWP","Continent/UK-Spain Range","2025-12-11","2025-12-15","35","rieck-petersen@shipnet.de","+49 (0)40 35 00 426","-25.0","135.0",NULL,"054895"
"TR149P","13328","Grains","Falcon Navigation","Dry Bulk","28000","40000","East Coast North America","East Coast North America","Cape Henry","Central Mediterranean","2025-12-12","2025-12-18","0","rieck-petersen@shipnet.de","+49 (0)40 35 00 426","36.9312","-76.0086",NULL,"054895"
"TR149P","13329","BHF","Falcon Navigation","Dry Bulk","27000","40000","North Africa","North Africa","Casablanca","Adriatic, Int Koper","2025-12-10","2025-12-13","25","rieck-petersen@shipnet.de","+49 (0)40 35 00 426","33.5992","-7.6203",NULL,"054895"
"TR149P","13330","Coal","Midstar","Dry Bulk","50000","69000","South East Asia","South East Asia","South Sumatra","Thailand","2025-12-10","2025-12-14","0","handy@energybulk.com","+603-8733 2988","-3.3194","103.9144",NULL,"950148"
"TR149P","13331","Coal","Midstar","Dry Bulk","50000","69000","South East Asia","South East Asia","South Sumatra","Thailand","2025-12-10","2025-12-14","0","handy@energybulk.com","+603-8733 2988","-3.0","104.0",NULL,"451341"
"TR149P","13332",,"DE CHENG",,"28000","38000","0","China Japan Range",,,"2025-12-15","2025-12-31","365","handy@energybulk.com","+603 8733 2988","35.0","137.0",NULL,"854727"
"TR149P","13333","Slag","Refined Success Ltd","Dry Bulk","32000","40000","China Japan Range","China Japan Range","North China","Singapore - Malaysia Range","2025-12-10","2025-12-15","20","handy@energybulk.com","+603 8733 2988","39.0","117.0",NULL,"143175"
"TR149P","13334","Cement","Weco Bulk","Dry Bulk","20000","49999","Mediterranean","Mediterranean","Canakkale","US East Coast","2025-12-15","2025-12-19","0","rieck-petersen@shipnet.de","+49 (0)40 35 00 426","40.1553","26.4124",NULL,"154020"
"TR149P","13335","Grains","Navision","Dry Bulk","20000","49999","South America","South America","Fazendinha","Mediterranean","2025-12-10","2025-12-15","0","rieck-petersen@shipnet.de","+49 (0)40 35 00 426","-0.0456","-51.0722",NULL,"154020"
"TR149P","13336","Petcoke","Navision","Dry Bulk","20000","49999","US Gulf","US Gulf","Port Arthur","Brazil","2025-12-16","2025-12-20","25","rieck-petersen@shipnet.de","+49 (0)40 35 00 426","29.8849","-93.939",NULL,"154020"
"TR149P","13337","Slags","OSR","Dry Bulk","20000","59999","Mediterranean","Mediterranean","Gibraltar","Caribbean","2025-12-15","2025-12-20","25","rieck-petersen@shipnet.de","+49 (0)40 35 00 426","36.1408","-5.3536",NULL,"154020"
"TR149P","13338","Agriproducts","Unicargo","Dry Bulk","32000","37000","US Gulf","US Gulf","Houston","North Coast South America","2025-12-14","2025-12-18","30","rieck-petersen@shipnet.de","+49 (0)40 35 00 426","29.7604","-95.3698",NULL,"154020"
"TR149P","13339","Unknown","Unicargo","Dry Bulk","35000","40000","West Africa","West Africa","Abidjan","Baltimore","2025-12-08","2025-12-25","0","rieck-petersen@shipnet.de","+49 (0)40 35 00 426","5.3097","-4.0127",NULL,"154020"
"TR149P","13340","Bagged Rice","Sanglobe Shipping","Dry Bulk","58000","66000","East Coast India","East Coast India","Kakinada","West Africa","2025-12-10","2025-12-10","75","rieck-petersen@shipnet.de","+49 (0)40 35 00 426","16.9335","82.2332",NULL,"893391"
"TR149P","13341","Bulk Clinker","Sanglobe Shipping","Dry Bulk","60000","63000","South East Asia","South East Asia","Ko Sichang","Bangladesh","2025-12-15","2025-12-20","30","rieck-petersen@shipnet.de","+49 (0)40 35 00 426","13.1588","100.9115",NULL,"893391"
"TR149P","13342","Millscale","Sanglobe Shipping","Dry Bulk","58000","63000","West Coast India","West Coast India","Kandla","South East Asia","2025-12-15","2025-12-20","25","rieck-petersen@shipnet.de","+49 (0)40 35 00 426","23.0333","70.2167",NULL,"893391"
"TR149P","13343","Unknown","Mara Navis","Dry Bulk","52000","64000","East Coast India","East Coast India","East Coast India","US Gulf","2025-12-23","2025-12-25","60","rieck-petersen@shipnet.de","+49 (0)40 35 00 426","16.9335","82.2332",NULL,"893391"
"TR149P","13344","Unknown","Mara Navis","Dry Bulk","52000","64000","West Coast India","West Coast India","West Coast India","South East Asia","2025-12-14","2025-12-17","30","rieck-petersen@shipnet.de","+49 (0)40 35 00 426","23.0333","70.2167",NULL,"893391"
"TR149P","13345","Unknown","Mara Navis","Dry Bulk","52000","64000","West Coast India","West Coast India","West Coast India","Mediterranean","2025-12-21","2025-12-24","42","rieck-petersen@shipnet.de","+49 (0)40 35 00 426","23.0333","70.2167",NULL,"893391"
"TR149P","13346","Grains","LDC","Dry Bulk","81526","81526","East Coast South America","East Coast South America",,"Red Sea","2025-12-25","2025-12-30","0","chartering@reshamwalashipbrokers.com","+91 98210 68513","-22.9","-43.2",NULL,"330797"
"TR149P","13347","Coal","Cambrian","Dry Bulk","77888","77888","Far East","Far East","Mailiao","India","2025-12-09","2025-12-14","0","chartering@reshamwalashipbrokers.com","+91 98210 68513","23.7835","120.2514",NULL,"330797"
"TR149P","13348","Salt","Cambrian","Dry Bulk","63301","63301","South East Asia","South East Asia","Hazira","China","2025-12-04","2025-12-09","0","chartering@reshamwalashipbrokers.com","+91 98210 68513","21.1167","72.6833",NULL,"330797"
"TR149P","13349","Coal","Enesel","Dry Bulk","63270","63270","East Coast India","East Coast India","Cochin","Bangladesh","2025-12-20","2025-12-25","0","chartering@reshamwalashipbrokers.com","+91 98210 68513","9.9312","76.2673",NULL,"330797"
"TR149P","13350","Salt","HMM","Dry Bulk","57981","57981","South East Asia","South East Asia","Navlakhi","Indonesia","2025-12-04","2025-12-09","0","chartering@reshamwalashipbrokers.com","+91 98210 68513","22.9784","70.3735",NULL,"330797"
"TR149P","13351","Alumina","Union Bulk","Dry Bulk","42864","42864","OCEANIA","OCEANIA","Bunbury","China","2025-12-04","2025-12-09","0","chartering@reshamwalashipbrokers.com","+91 98210 68513","-33.327","115.637",NULL,"330797"
NULL,"13352","Aggregates","Hanson Bulk","Dry Bulk","56000","61000","Persian Gulf","Persian Gulf","Fujairah","Maldives","2023-12-15","2023-12-20","25","chartering@hansoncarriers.com","+86 13390017718","25.2697","56.2539",NULL,"941855"
"TR149P","13353",,"Anchor Shipping","Dry Bulk","52000","64000","0","Worldwide",,,NULL,NULL,"365","pacific@goldenmaritime.net","00922138682834",,,NULL,"636932"
"TR149P","13354","Clinker","Imperial Chartering","Dry Bulk","50000","79000","West Coast India","West Coast India","Sanghi Port","Dahej Port","2025-12-06","2025-12-10","15","chart_desk@imperialchartering.com","+91-9624603337","23.2475","69.6678",NULL,"827065"
"TR149P","13355","Clinker","Imperial Chartering","Dry Bulk","70000","79999","West Coast India","West Coast India","Sanghi Port","Dahej Port","2025-12-06","2025-12-10","15","chart_desk@imperialchartering.com","+91-9624603337","23.2475","69.6675",NULL,"165035"
"TR149P","13356","Harmless Bulk","Pan Ocean","Dry Bulk","48000","57000","Far East","Far East","East Kali","China","2025-12-15","2025-12-20","25","chartering@interbulkshipping.in","+91-9650405353","-3.5566","119.3793",NULL,"268108"
"TR149P","13357","Wood Chips","Taichi Shipping","Dry Bulk","48000","60000","South East Asia","South East Asia","East Malaysia","China","2025-12-20","2025-12-24","20","chartering@interbulkshipping.in","+91 9958349993","4.2105","101.9758",NULL,"624861"
"TR149P","13358","General Cargo","Taichi Shipping","General Cargo","13000","18000","South East Asia","South East Asia","Singapore","East Coast India - Bengal","2025-12-21","2025-12-24","20","chartering@interbulkshipping.in","+91 9958349993","1.3521","103.8198",NULL,"624861"
"TR149P","13359",,"Lion Maritime","Dry Bulk","30000","38000","Mediterranean","Mediterranean","Gibraltar","Atlantic","2025-12-12","2025-12-25","180","rieck-petersen@shipnet.de","+49 (0)40 35 00 426","36.1408","-5.3536",NULL,"261561"
"TR149P","13360","Grains","Falcon","Dry Bulk","34000","40000","South West Pacific","South West Pacific","SWP","Continent/UK-Spain Range","2025-12-11","2025-12-15","35","rieck-petersen@shipnet.de","+49 (0)40 35 00 426","-33.86785","151.20732",NULL,"754928"
"TR149P","13361","Grains","Lauritzen","Dry Bulk","32000","45000","US Gulf","US Gulf","Houston","West Mediterranean","2025-12-15","2025-12-20","40","rieck-petersen@shipnet.de","+49 (0)40 35 00 426","29.7604","-95.3698",NULL,"754928"
"TR149P","13362","Grains","Clipper","Dry Bulk","34000","40000","South West Pacific","South West Pacific","SWP","Worldwide or Atlantic + Singapore/Japan","2025-12-16","2025-12-21","0","rieck-petersen@shipnet.de","+49 (0)40 35 00 426","-33.86785","151.20732",NULL,"754928"
NULL,"13363","Petcoke","Refined Success Ltd","Dry Bulk","50000","69000","US Gulf","US Gulf","US Gulf","Singapore-Japan Range","2025-12-16","2025-12-21","0",,"0030 6948232205","29.0","-90.0",NULL,"627083"
NULL,"13364","Ore or Bauxite","Refined Success Ltd","Dry Bulk","50000","59000","West Africa","West Africa","Abidjan","Singapore-Japan Range","2025-12-17","2025-12-22","0",,"0030 6948232205","5.3167","-4.0333",NULL,"627083"
"TR149P","13365",,"MOL","Dry Bulk","84790","84790","Far East","Far East","Kakogawa","Japan","2025-12-06","2025-12-08","0","chartering@reshamwalashipbrokers.com","+91 98210 68513","34.7526","134.8372",NULL,"250673"
"TR149P","13366",,"Oldendorff","Dry Bulk","81855","81855","Far East","Far East","Caofeidian","Singapore-Japan","2025-12-06","2025-12-11","0","chartering@reshamwalashipbrokers.com","+91 98210 68513","39.1882","118.4548",NULL,"250673"
"TR149P","13367","Coal","Glencore","Dry Bulk","76432","76432","Far East","Far East","Zhuhai","China","2025-12-08","2025-12-09","0","chartering@reshamwalashipbrokers.com","+91 98210 68513","22.2569","113.5653",NULL,"250673"
"TR149P","13368",,"Smart Gain","Dry Bulk","84988","84988","Far East","Far East","Far East","Worldwide","2026-01-01","2026-01-31","365","chartering@reshamwalashipbrokers.com","+91 98210 68513","35.0","140.0",NULL,"250673"
"TR149P","13369",,"Norden","Dry Bulk","81702","81702","Far East","Far East","Caofeidian","Worldwide","2025-12-06","2025-12-07","240","chartering@reshamwalashipbrokers.com","+91 98210 68513","39.1882","118.4548",NULL,"250673"
"TR149P","13370",,"Western Bulk","Dry Bulk","60309","60309","Far East","Far East","Shanghai","Worldwide","2025-12-07","2025-12-08","510","chartering@reshamwalashipbrokers.com","+91 98210 68513","31.2304","121.4737",NULL,"250673"
"TR149P","13371",,"Stone Shipping","Dry Bulk","60446","60446","Far East","Far East","Mariveles","Worldwide","2025-12-09","2025-12-11","420","chartering@reshamwalashipbrokers.com","+91 98210 68513","14.4333","120.4833",NULL,"250673"
NULL,"13372","NPS","Pan Ocean Co., Ltd","Dry Bulk","20000","49999","Persian Gulf","Persian Gulf","Ras Al Khair","Kakinada","2025-12-14","2025-12-18","30","mail@carisocean.com","+82 10 9446 2296","27.4","49.6",NULL,"216688"
NULL,"13373","Coil","Pan Ocean Co., Ltd","Dry Bulk","61000","63000","Far East","Far East","South Korea","World Wide","2025-12-19","2025-12-21","365","mail@carisocean.com","+82 10 9446 2296","35.9078","127.7669",NULL,"216688"
NULL,"13374","Grain","Pan Ocean Co., Ltd","Dry Bulk","50000","69000","North Pacific","North Pacific","North Pacific","Singapore-Japan Range","2025-12-20","2026-01-05","0","mail@carisocean.com","+82 10 9446 2296","45.0","-150.0",NULL,"216688"
NULL,"13375","Coil","Pan Ocean Co., Ltd","Dry Bulk","37000","42000","Far East","Far East","Far East","World Wide","2025-12-20","2025-12-25","365","mail@carisocean.com","+82 10 9446 2296","35.0","139.0",NULL,"216688"
NULL,"13376","Steel Products","Pan Ocean Co., Ltd.","General Cargo","32000","42000","Far East","Far East","South Korea","South East Asia","2025-12-16","2025-12-18","25","mail@carisocean.com","+82 10 9446 2296","35.9078","127.7669",NULL,"147180"
NULL,"13377","Steel Coil","HJ","General Cargo","32000","38000","Far East","Far East","Korea","West Coast India","2023-12-19","2023-12-21","40","fix@withmare.com","+82 2 6956 0788","35.9078","127.7669",NULL,"298782"
NULL,"13378","Aggregates","Hanson Bulk","Dry Bulk","56000","61000","Persian Gulf","Persian Gulf","Fujairah","Maldives","2023-12-17","2023-12-22","25","chartering@hansoncarriers.com","+86 13390017718","25.2697","56.4611",NULL,"022555"
NULL,"13379","Steel Products","Hanson Breakbulk","General Cargo","18000","28000","South East Asia","South East Asia","Pasir Gudang","Mumbai","2025-12-10","2025-12-17","25","chartering@hansoncarriers.com","8618842642955","1.4617","103.8142",NULL,"747648"
"TR149P","13380","Rock Phosphate","SSIPL","Dry Bulk","50000","69000","West Africa","West Africa","Kpeme","India","2025-12-17","2025-12-22","0","chartering@interbulkshipping.in","+91 9711006906","6.2333","1.5667",NULL,"433056"
"TR149P","13381","Harmless NPS","Pan Ocean","Dry Bulk","20000","49999","Persian Gulf","Persian Gulf","Ras Al Khair","Kakinada","2025-12-14","2025-12-18","30","chartering@interbulkshipping.in","+91-9560504611","27.4392","49.6636",NULL,"059315"
"TR149P","13382","Slag","Daifu SGP","Dry Bulk","60000","69000","China Japan Range","China Japan Range","North China","Bangladesh","2025-12-15","2025-12-20","30","chartering@interbulkshipping.in","+91-9560504611","39.0","117.0",NULL,"066086"
"TR149P","13383","Slag","Daifu SGP","Dry Bulk","70000","79000","China Japan Range","China Japan Range","North China","Persian Gulf","2025-12-15","2025-12-20","35","chartering@interbulkshipping.in","+91-9560504611","39.0","117.0",NULL,"066086"
"TR149P","13384","Bulk Cement","Vietsea","Dry Bulk","25000","42000","Far East","Far East","Vissai","Newcastle","2025-12-25","2025-12-31","0","chartering@interbulkshipping.in","+91 9958349993","20.0","106.0",NULL,"253954"
"TR149P","13385","Wood Chips","Taichi Shipping","Dry Bulk","48000","60000","South East Asia","South East Asia","East Malaysia","China","2025-12-20","2025-12-24","20","chartering@interbulkshipping.in","+91 9958349993","4.2105","114.0089",NULL,"872431"
"TR149P","13386",,"Anchor Shipping","Dry Bulk","52000","64000","0","Worldwide",,"Worldwide",NULL,NULL,"365","pacific@goldenmaritime.net","00922138682834",,,NULL,"702743"
NULL,"13387",,"HJ",,"50000","69000","South East Asia","South East Asia","Philippines","Persian Gulf - Japan Range","2023-12-18","2023-12-23","365","fix@withmare.com","+82 2 6956 0788","13.0","122.0",NULL,"169694"
NULL,"13388","Aluminum Ingots",,"General Cargo","7000","10000","0","Persian Gulf","PG","Turkey","2025-01-01","2025-01-03","30","Fix@stargulfshipping.com","+962 77 9233254","26.0667","50.5577",NULL,"517168"
"TR149P","13389","Harmless Bulk","Dava","Dry Bulk","14000","30000","South Africa","South Africa","Durban","Persian Gulf","2025-12-16","2025-12-22","30","chartering@interbulkshipping.in","+91-9650405353","-29.8717","31.0218",NULL,"370061"
"TR149P","13390","Clinker","Enesel","Dry Bulk","20000","69999","Mediterranean","Mediterranean","Annaba","Dakar","2025-12-20","2025-12-24","0","rieck-petersen@shipnet.de","+49 (0)172 410 48 72","36.917","7.766",NULL,"291972"
NULL,"13391","Petcoke","Refined Success Ltd","Dry Bulk","20000","69000","US Gulf","US Gulf","US Gulf","Singapore-Japan Range","2025-12-16","2025-12-21","0",,"0030 6948232205","29.0","-90.0",NULL,"650317"
NULL,"13392","Ore or Bauxite","Refined Success Ltd","Dry Bulk","20000","59000","West Africa","West Africa","Abidjan","Singapore-Japan Range","2025-12-17","2025-12-22","0",,"0030 6948232205","5.3167","-4.0333",NULL,"650317"
NULL,"13393",,"Star Gulf Shipping Pvt Ltd.","Dry Bulk","7000","10000","Persian Gulf","Persian Gulf",,"Mediterranean","2026-01-01","2026-01-03","30","Fix@stargulfshipping.com","+962 6 4170025","25.0","51.0",NULL,"339191"
"TR149P","13394","Petroleum Coke","Navision","Dry Bulk","20000","39999","US Gulf","US Gulf","Port Arthur","Salvador","2025-12-16","2025-12-20","25","chartering@interbulkshipping.in","+91-9650405353","29.8844","-93.9399",NULL,"112845"
"TR149P","13395","Slags","Navision","Dry Bulk","20000","49999","Mediterranean","Mediterranean","Gibraltar","Caribbean","2025-12-15","2025-12-20","25","chartering@interbulkshipping.in","+91-9650405353","36.1408","-5.3536",NULL,"112845"
NULL,"13396","Wheat","Star Gulf Shipping Pvt Ltd.","Dry Bulk","32000","35000","Black Sea","Black Sea","Black Sea","Persian Gulf","2025-12-07","2025-12-14","40","Fix@stargulfshipping.com","+962 79 1987866","44.0","34.0",NULL,"045546"
"TR149P","13397","Coal","TMA Bulk Pool Inc.","Dry Bulk","28000","34000","Caribbean","Caribbean","Puerto Bolivar","North Spain","2025-12-17","2025-12-22","25","rieck-petersen@shipnet.de","+49 (0)40 35 00 426","11.1178","-74.2307",NULL,"267119"
NULL,"13398","Coil","Pan Ocean Co., Ltd","General Cargo","61000","63000","Far East","Far East","South Korea","World Wide","2025-12-19","2025-12-21","365","mail@carisocean.com","(822)7304593","35.9078","127.7669",NULL,"448171"
